;
;	Title	:	Plants.dat
;	Author	:	Andrzej Madajczyk
;	Date	:	02/05/2003
;
;
;----------------------------------------------------------------------------------
;
; Note: "X" + "Select" on Pad1 will	reload this file while game is running;
;
;----------------------------------------------------------------------------------
;
;
;
;	Name		- 	Surface Name (it must correspond to names in "ColPoint.h",
;					e.g. "TARMAC" -> "COLPOINT_SURFACETYPE_TARMAC");
;
;
;	PCDid		- 	Plant Cover Definition Index for SurfaceType (0-2)
;					Notes:	1. There must be at least 1 PCDid specified per SurfaceType
;							2. Each plant definition have own options for plants, but all definitions
;								must share the same constant SlotID (see below)
;
;	SlotID		-	Plant Slot ID (defines main geometry set and "big" texture ID)
;					Note:	SlotID must be CONSTANT for all plant cover definitions in SurfaceType
;
;
;	ModelID		- 	subModel ID (0-3)
;	UVoff		- 	local UV offset in "big" texture (64x1024), described by ID (0-15):
;
;  ******
;  *  0 *
;  ******
;  *  1 *
;  ******
;  *  2 *
;  ******
;  * .. *
;  ******
;  * .. *
;  ******
;  * .. *
;  ******
;  * 13 *
;  ******
;  * 14 *
;  ******
;  * 15 *
;  ******
;
;
;	R,G,B		-	Color RGB (0-255)		(default=(255,255,255))
;
;	I			- 	Color Intensity	(0-255)	(default=255) 
;	VarI		- 	Color intensity Variation (default=0 (no variation))
;					Intensity should be <255 to see any effect of this (final_I = I + VarI*rand01())
;
;	A			- 	Color Alpha	(129-255)	(default=255)
;
;
;	SclXY		- 	Plant Size Scale XY 			(default=1.0)
;	SclZ		- 	Plant Size Scale Z (height)		(default=1.0)
;	SclVarXY	- 	Plant Size Scale Variation XY	(default=0.0 (no variation)) (final_SclXY = SclXY + SclVarXY*rand01())
;	SclVarZ		- 	Plant Size Scale Variation Z	(like SclVarXY)
;
;
;	WBendScl	-	Wind bending scale (default=0.0 (no wind bending))
;					Notes:	1. This scale may be negative (s<0) - then you will get "opposite to the wind" movement
;							2. This should be off (=0.0) for very small plants (with low ScaleZ), as bending looks unnatural for them
;
;	WBendVar	-	Wind bending variation (0 <= var <= 10)
;					(>1.0 = big differences in bending among plants in set, 0.5 = medium differences,
;					 0.0 = every plant is bended in the same way)
;
;					final_bend = [ 1.0 + (bend_var*rand(-1,1)) ] * [ global_wind * bend_scale ]
;
;					Notes:	1. when WBendScl is small (~1.0) and WBendVar is big (>3.0), then bending differences will be very visible
;							2. when WBendScl is big (~3.0) and WBendVar is small (<1.0), then bending differences will be very small
;
;
;	Density		- 	Density (num of plants per 1 sq/m)
;					(1.0=dense, 0.2=average, 0.1=sparse, 0.0 = no plants generated)
;
;
;
;
;
;	
;Name				PCDid		SlotID		ModelID		UVoff		R		G		B		I		VarI	A		SclXY	SclZ	SclVarXY	SclVarZ		WBendScl	WBendVar		Density
;
;Name				PCDid		SlotID		ModelID		UVoff		R		G		B		I		VarI		A		SclXY		SclZ		SclVarXY		SclVarZ		WBendScl		WBendVar		Density
TARMAC_REALLYFUCKED		0		0		2		1		190		250		165		100		0		25		0.1		0.11		0.1			0.1		1.0			3.0				0.02
;
GRASS_SHORT_LUSH		0		0		0		1		220		210		165		160		22		40		0.5		0.51		1.5			0.65		5.0			1.0				0.1
GRASS_SHORT_LUSH		1		0		1		1		220		210		165		160		22		40		1.5		0.61		1.5			0.85		5.0			1.0				0.08
;
GRASS_MEDIUM_LUSH		0		0		2		1		210		250		128		111		64		46		1.5		0.51		1.5			0.65		1.0			3.0				0.1
GRASS_MEDIUM_LUSH		1		0		2		1		210		250		128		111		64		46		1.5		0.61		1.5			0.85		1.0			3.0				0.08
;
GRASS_LONG_LUSH			0		0		0		1		214		170		189		150		64		50		0.5		0.11		1.5			0.25		1.0			3.0				0.16
;
GRASS_SHORT_DRY			0		1		0		1		222		220		219		190		50		50		0.5		0.11		1.5			0.25		1.0			3.0				0.1
GRASS_SHORT_DRY			1		1		0		1		222		220		219		190		50		40		1.5		0.61		1.5			0.85		1.0			3.0				0.08
;
GRASS_MEDIUM_DRY		0		0		0		1		220		210		165		160		22		40		0.5		0.51		1.5			0.65		5.0			1.0				0.1
GRASS_MEDIUM_DRY		1		0		1		1		220		210		165		160		22		40		1.5		0.61		1.5			0.85		5.0			1.0				0.08
;
GRASS_LONG_DRY			1		0		0		3		190		250		165		100		0		20		1.5		0.61		1.5			0.85		1.0			3.0				0.08
;
;Name				PCDid		SlotID		ModelID		UVoff		R		G		B		I		VarI		A		SclXY		SclZ		SclVarXY		SclVarZ		WBendScl		WBendVar			Density
;
WOODLANDGROUND			0		0		0		1		120		120		125		120		220		90		3.5		0.6		1.9			1.25		1.0			6.0				0.09
WOODLANDGROUND			1		0		0		0		125		125		125		120		220		50		1.0		1.0		0.5			0.5		1.0			6.0				0.09
;
;
;
;
SAND_DEEP			0		1		0		1		192		192		192		120		220		155		0.5		0.5		0.5			0.55		1.0			0.0				0.01
SAND_DEEP			0		1		0		1		192		192		192		120		220		155		0.5		0.5		0.5			0.55		1.0			0.0				0.01
SAND_MEDIUM			0		1		0		0		190		190		195		120		220		200		3.5		0.2		0.9			0.25		1.0			0.0				0.18
SAND_MEDIUM			0		1		0		0		190		190		195		120		220		200		3.5		0.2		0.9			0.25		1.0			0.0				0.18
;
SAND_COMPACT			0		1		0		3		245		147		113		86		45		35		1.5		0.2		0.5			0.55		1.0			0.0				0.18
SAND_COMPACT			1		1		0		1		245		147		113		86		45		35		0.5		0.5		0.5			0.55		1.0			0.0				0.18
SAND_COMPACT			0		1		0		3		245		147		113		86		45		35		1.5		0.2		0.5			0.55		1.0			0.0				0.18
