# INTERIOR FURNITURE GROUPS DATA

# !! DONT CHANGE ANY OF THESE VALUES !!
# A - min width
# B - min depth
# C - max width
# D - max depth
# E - can place in front of Window
# F - is tall
# G - is stealable

# GROUP: <tag>
# SUBGROUP: <tag>		A B C D E F G
# ITEM:	<tag>					FILENAME		ID	  WEALTH	MAXANG
#										MIN     MAXs

GROUP: IT_SHOP
SUBGROUP: SHOP_UNIT1_L		1 1 1 1 0 0 0
ITEM:						shlf4_cablft		1	0	100	0
ITEM:						CJ_SS_1_L		2	0	100	0
SUBGROUP: SHOP_UNIT1_R		1 1 1 1 0 0 0		
ITEM:						shlf4_cab_rt		1	0	100	0
ITEM:						CJ_SS_1_R		2	0	100	0
SUBGROUP: SHOP_UNIT1_M		1 1 1 1 0 0 0		
ITEM:						shlf4_cab_mid		1	0	100	0
ITEM:						CJ_SS_1_M		2	0	100	0
SUBGROUP: SHOP_UNIT2_L		1 1 1 1 0 0 0	
ITEM:						shlf1_cablft1		1	0	100	0
ITEM:						CJ_SS_2_L		2	0	100	0
SUBGROUP: SHOP_UNIT2_R		1 1 1 1 0 0 0
ITEM:						shlf1_cab_rt		1	0	100	0
ITEM:						CJ_SS_2_R		2	0	100	0
SUBGROUP: SHOP_UNIT2_M		1 1 1 1 0 0 0			
ITEM:						shlf1_cab_mid		1	0	100	0
ITEM:						CJ_SS_2_M		2	0	100	0
SUBGROUP: SHOP_UNIT3_L		1 1 1 1 0 0 0 		
ITEM:						shlf3_cablft		1	0	100	0
ITEM:						CJ_SS_3_L		2	0	100	0
SUBGROUP: SHOP_UNIT3_R		1 1 1 1 0 0 0		
ITEM:						shlf3_cab_rt		1	0	100	0
ITEM:						CJ_SS_3_R		2	0	100	0
SUBGROUP: SHOP_UNIT3_M		1 1 1 1 0 0 0			
ITEM:						shlf3_cab_mid2		1	0	100	0
ITEM:						CJ_SS_3_M		2	0	100	0
SUBGROUP: SHOP_UNIT4_L		1 1 1 1 0 0 0 		
ITEM:						shlf2_cablft		1	0	100	0
ITEM:						CJ_SS_4_L		2	0	100	0
SUBGROUP: SHOP_UNIT4_R		1 1 1 1 0 0 0 	
ITEM:						shlf2_cab_rt		1	0	100	0
ITEM:						CJ_SS_4_R		2	0	100	0
SUBGROUP: SHOP_UNIT4_M		1 1 1 1 0 0 0 		
ITEM:						shlf2_cab_mid		1	0	100	0
ITEM:						CJ_SS_4_M		2	0	100	0
SUBGROUP: SHOP_CHECKOUTS	3 1 3 1 0 0 0			
ITEM:						shlf5_till		0	0	100	5
SUBGROUP: SHOP_BASKETS		1 1 1 1 0 0 0		
ITEM:						shop_baskets		0	0	100	0
SUBGROUP: SHOP_LIGHTS		2 1 2 1 0 0 0				
ITEM:						shoplight1		0	0	100	0


GROUP: IT_OFFICE
SUBGROUP: OFFICE_DESKS		2 1 2 1 1 0 0	
ITEM:						MED_OFFICE_DESK_1	1	0	100	0
